Stock,Date,Close,Open,High,Volume
GOOG,2022-03-28,140.70,140.68,144.16,6324711.00
GOOG,2022-04-04,134.01,140.82,144.04,4889904.00
GOOG,2022-04-11,127.25,132.90,132.94,4510844.00
GOOG,2022-04-18,119.61,127.41,131.92,6840686.00
GOOG,2022-04-25,114.97,119.43,123.28,10831850.00
GOOG,2022-05-02,115.66,113.91,123.14,8156268.00
GOOG,2022-05-09,116.52,113.30,118.09,8669141.00
GOOG,2022-05-16,109.31,115.38,117.23,6980949.00
GOOG,2022-05-23,112.80,110.10,112.87,9502792.00
GOOG,2022-05-31,114.56,113.08,117.90,6618934.00
GOOG,2022-06-06,111.43,116.74,119.40,6361793.00
GOOG,2022-06-13,107.87,107.45,112.06,8712953.00
GOOG,2022-06-21,118.54,109.70,118.64,6338224.00
GOOG,2022-06-27,109.08,118.94,119.25,7442865.00
GOOG,2022-07-05,120.17,107.51,120.44,6327410.00
GOOG,2022-07-11,112.77,118.65,118.79,7872789.00
GOOG,2022-07-18,108.36,113.44,116.33,162849556.00
GOOG,2022-07-25,116.64,108.88,116.90,161031217.00
GOOG,2022-08-01,118.22,115.53,119.50,97443418.00
GOOG,2022-08-08,122.65,119.12,122.65,85775104.00
GOOG,2022-08-15,118.12,122.21,123.26,84579291.00
GOOG,2022-08-22,111.30,116.10,117.78,96331223.00
GOOG,2022-08-29,108.68,110.78,111.96,110234787.00
GOOG,2022-09-06,111.78,108.14,112.00,86957916.00
GOOG,2022-09-12,103.63,111.99,112.64,165898749.00
GOOG,2022-09-19,100.01,102.54,104.02,70337028.00
AMZN,2021-09-20,171.28,169.80,171.46,14357066.00
AMZN,2021-09-27,164.16,168.58,170.78,16310187.00
AMZN,2021-10-04,164.43,163.97,166.29,14732534.00
AMZN,2021-10-11,170.45,163.75,170.52,13570821.00
AMZN,2021-10-18,166.78,169.42,173.14,12720409.00
AMZN,2021-10-25,168.62,166.75,173.95,19821332.00
AMZN,2021-11-01,175.95,168.09,178.31,19983629.00
AMZN,2021-11-08,176.26,176.16,180.27,16350176.00
AMZN,2021-11-15,183.83,176.85,188.11,18356801.00
AMZN,2021-11-22,175.23,183.82,185.67,13859411.00
AMZN,2021-11-29,169.49,177.38,179.80,18295497.00
AMZN,2021-12-06,172.21,169.65,177.50,14363798.00
AMZN,2021-12-13,170.02,172.00,174.17,17028527.00
AMZN,2021-12-20,171.07,166.85,172.05,10257609.00
AMZN,2021-12-27,166.72,171.04,172.94,11736310.00
AMZN,2022-01-03,162.55,167.55,171.40,14873035.00
AMZN,2022-01-10,162.14,160.59,166.88,14939808.00
AMZN,2022-01-18,142.64,159.11,159.73,17831406.00
AMZN,2022-01-24,143.98,139.00,145.18,24718944.00
AMZN,2022-01-31,157.64,144.75,161.20,35192213.00
AMZN,2022-02-07,153.29,158.52,163.83,19640945.00
AMZN,2022-02-14,152.60,151.75,160.35,16027112.00
AMZN,2022-02-22,153.79,150.48,153.99,14677646.00
AMZN,2022-02-28,145.64,152.43,154.45,13803602.00
AMZN,2022-03-07,145.52,145.44,149.68,23260828.00
AMZN,2022-03-14,161.25,145.98,161.59,20526299.00
AMZN,2022-03-21,164.77,161.12,166.37,14615953.00
AMZN,2022-03-28,163.56,164.98,170.83,14961498.00
AMZN,2022-04-04,154.46,164.13,168.39,14846536.00
AMZN,2022-04-11,151.71,152.71,156.03,10613940.00
AMZN,2022-04-18,144.35,151.52,158.65,14905893.00
AMZN,2022-04-25,124.28,144.02,146.22,30035955.00
AMZN,2022-05-02,114.77,122.40,126.22,30365941.00
AMZN,2022-05-09,113.06,111.31,114.00,28448577.00
AMZN,2022-05-16,107.59,113.10,115.80,22351792.00
AMZN,2022-05-23,115.15,108.46,115.19,24525745.00
AMZN,2022-05-31,122.35,116.28,125.61,23516357.00
AMZN,2022-06-06,109.65,125.25,128.99,439794417.00
AMZN,2022-06-13,106.22,104.19,109.06,435976011.00
AMZN,2022-06-21,116.46,108.20,116.71,265154294.00
AMZN,2022-06-27,109.56,117.09,117.98,374381181.00
AMZN,2022-07-05,115.54,107.60,116.99,247235315.00
AMZN,2022-07-11,113.55,114.08,115.59,304655044.00
AMZN,2022-07-18,122.42,115.00,125.50,303077473.00
AMZN,2022-07-25,134.95,122.70,137.65,410016770.00
AMZN,2022-08-01,140.80,134.96,143.56,331869002.00
AMZN,2022-08-08,143.55,142.05,144.60,240022829.00
AMZN,2022-08-15,138.23,142.80,146.57,231518800.00
AMZN,2022-08-22,130.75,135.72,137.83,216159531.00
AMZN,2022-08-29,127.51,129.90,132.07,265019304.00
AMZN,2022-09-06,133.27,127.92,133.69,185133842.00
AMZN,2022-09-12,123.53,134.10,136.49,340392641.00
AMZN,2022-09-19,118.54,122.16,124.71,153477046.00
TSLA,2021-09-20,258.13,244.85,258.26,89535196.00
TSLA,2021-09-27,258.40,257.70,266.33,109382331.00
TSLA,2021-10-04,261.83,265.50,268.99,99483120.00
TSLA,2021-10-11,281.01,262.55,281.07,81512174.00
TSLA,2021-10-18,303.22,283.93,303.33,109982713.00
TSLA,2021-10-25,371.33,316.84,371.73,220925116.00
TSLA,2021-11-01,407.36,381.66,414.49,180441254.00
TSLA,2021-11-08,344.47,383.26,399.00,183323989.00
TSLA,2021-11-15,379.02,339.21,379.57,135304561.00
TSLA,2021-11-22,360.64,387.44,400.65,103485337.00
TSLA,2021-11-29,338.32,366.99,390.94,124636821.00
TSLA,2021-12-06,339.01,333.83,357.46,99585638.00
TSLA,2021-12-13,310.85,333.69,335.00,136074239.00
TSLA,2021-12-20,355.66,303.56,357.66,104781767.00
TSLA,2021-12-27,352.26,357.89,373.00,91799445.00
TSLA,2022-01-03,342.32,382.58,402.66,153185108.00
TSLA,2022-01-10,349.87,333.33,371.86,137250435.00
