indexkey,Symbol,Date,Volume_Traded
12442,UBER,2022-04-21,32937079.0
12443,UBER,2022-04-22,22748875.0
12444,UBER,2022-04-25,29416342.0
12445,UBER,2022-04-26,26981913.0
12446,UBER,2022-04-27,30762551.0
12447,UBER,2022-04-28,30251634.0
12448,UBER,2022-04-29,24948561.0
12449,UBER,2022-05-02,45650984.0
12450,UBER,2022-05-03,58340743.0
12451,UBER,2022-05-04,115601799.0
12452,UBER,2022-05-05,52804190.0
12453,UBER,2022-05-06,56575091.0
12454,UBER,2022-05-09,58095902.0
12455,UBER,2022-05-10,47982539.0
12456,UBER,2022-05-11,51137731.0
12457,UBER,2022-05-12,63999349.0
12458,UBER,2022-05-13,53577608.0
12459,UBER,2022-05-16,27285196.0
12460,UBER,2022-05-17,33859419.0
12461,UBER,2022-05-18,35747320.0
12462,UBER,2022-05-19,36461194.0
12463,UBER,2022-05-20,32104721.0
12464,UBER,2022-05-23,35204796.0
12465,UBER,2022-05-24,40726064.0
12466,UBER,2022-05-25,31270767.0
12467,UBER,2022-05-26,30199398.0
12468,UBER,2022-05-27,29710163.0
12469,UBER,2022-05-31,33194791.0
12470,UBER,2022-06-01,26383612.0
12471,UBER,2022-06-02,30691100.0
12472,UBER,2022-06-03,24283631.0
12473,UBER,2022-06-06,29834677.0
12474,UBER,2022-06-07,27453723.0
12475,UBER,2022-06-08,31225314.0
12476,UBER,2022-06-09,42149561.0
12477,UBER,2022-06-10,29897398.0
12478,UBER,2022-06-13,33130326.0
12479,UBER,2022-06-14,43006334.0
12480,UBER,2022-06-15,36073711.0
12481,UBER,2022-06-16,55312350.0
12482,UBER,2022-06-17,46728428.0
12483,UBER,2022-06-21,35257652.0
12484,UBER,2022-06-22,32353317.0
12485,UBER,2022-06-23,27010545.0
12486,UBER,2022-06-24,38140098.0
12487,UBER,2022-06-27,27153354.0
12488,UBER,2022-06-28,24360150.0
12489,UBER,2022-06-29,30704792.0
12490,UBER,2022-06-30,30882454.0
12491,UBER,2022-07-01,20693312.0
12492,UBER,2022-07-05,24515795.0
12493,UBER,2022-07-06,32689429.0
12494,UBER,2022-07-07,23121886.0
12495,UBER,2022-07-08,20231300.0
12496,UBER,2022-07-11,17562117.0
12497,UBER,2022-07-12,17373535.0
12498,UBER,2022-07-13,18994916.0
12499,UBER,2022-07-14,31561675.0
